url,primary_topic,search_intent,funnel_stage_inferred,content_type,product_assoc,topic_cluster,clicks_90d,impressions_90d,avg_position,ctr_pct,trend,branded,conversion_relevance_inferred,recommended_action,notes
https://searchatlas.com/blog/ahrefs-features/,Ahrefs feature breakdown,informational/commercial,MOFU,guide,Site Explorer/Backlink,Competitor-Comparison,1944,168118,9.4,1.16,strong,no,medium,Keep+AddLinks,"Top blog earner; captures huge how-does-ahrefs-X long-tail at ~95-100% CTR. Add tool CTA + cluster links. CTR gap ~2763 clicks if title/snippet improved."
https://searchatlas.com/blog/aio/,AI optimization (AIO) explainer,informational,TOFU,guide,LLM Visibility,AI-Search,626,19839,17.1,3.16,n/a,no,medium,Expand+AddLinks,"Core AEO/AIO cluster page; pulls AIO question long-tail at high CTR. Link to hub + LLM Visibility tool."
https://searchatlas.com/blog/aeo/,Answer engine optimization,informational,TOFU,guide,LLM Visibility,AI-Search,488,21663,23.7,2.25,n/a,no,high,Refresh+AddLinks,"AEO pillar candidate. Pos 23.7 has headroom. Make this the cluster hub or feed the new hub."
https://searchatlas.com/blog/holistic-seo/,Holistic SEO,informational,TOFU,guide,Site Explorer,SEO-Education,426,5176,19.5,8.23,DECLINE,no,low,Refresh,"Ranking loss: pos 9.3->19.5 (-100 clicks/90d). Was page-one; recover with freshness + intent match."
https://searchatlas.com/blog/geo/,Generative engine optimization,informational,TOFU,guide,LLM Visibility,AI-Search,345,46879,35.4,0.74,n/a,no,high,Refresh+Reposition,"46.9k impr at pos 35 = large latent demand. Quick-win if pushed to page one. Anchor of AI-Search cluster."
https://searchatlas.com/blog/ahrefs-cons/,Ahrefs cons/limitations,commercial,MOFU,guide,Site Explorer,Competitor-Comparison,232,13959,15.4,1.66,n/a,no,high,Keep+AddLinks,"Decision-stage; link to /searchatlas-vs-ahrefs and Ahrefs alternatives."
https://searchatlas.com/blog/aeo-traditional-seo/,AEO vs traditional SEO,informational,TOFU,guide,LLM Visibility,AI-Search,169,16885,14.8,1.0,n/a,no,medium,Keep+AddLinks,"Cluster member; link up to AEO hub."
https://searchatlas.com/blog/ahrefs-review/,Ahrefs review,commercial,MOFU,review,Site Explorer,Competitor-Comparison,166,136320,29.2,0.12,DECLINE,no,high,Refresh,"Major decay: -544 clicks/90d (was pos 39.7->29.2 but lost demand/impr). 136k impr, 0.12% CTR. High-value refresh."
https://searchatlas.com/blog/perplexityai-alternatives/,Perplexity AI alternatives,commercial,MOFU,listicle,LLM Visibility,Competitor-Comparison,157,78103,6.3,0.20,n/a,no,medium,Consolidate(primary),"CANNIBAL with /perplexity-ai-alternatives/. Keep this as canonical (pos 6.3); merge the other in."
https://searchatlas.com/blog/perplexity-ai-alternatives/,Perplexity AI alternatives (dup),commercial,MOFU,listicle,LLM Visibility,Competitor-Comparison,149,41471,11.7,0.36,DECLINE,no,medium,Consolidate(merge)+Redirect,"Ranking loss -178 (pos 7->11.7). Duplicate of perplexityai-alternatives. 301 into canonical."
https://searchatlas.com/blog/seo-tools/,SEO tools (head term),commercial,TOFU,listicle,All,Competitor-Comparison,109,576544,49.7,0.02,DECLINE,no,medium,Reposition,"576k impr at pos 49.7. Head term SA cannot win cheaply; reposition toward AI-SEO-tools/automation intent where SA ranks better."
https://searchatlas.com/blog/how-to-find-what-people-are-searching-for/,Keyword/search discovery,informational,TOFU,guide,Keyword Research,SEO-Education,90,17829,12.1,0.50,DECLINE,no,low,Refresh,"Impression decline; pos 12 quick-win."
https://searchatlas.com/blog/schema-markup-tools/,Schema markup tools,commercial,MOFU,listicle,OTTO,SEO-Education,90,40287,9.5,0.22,n/a,no,medium,Keep+AddLinks,"Pos 9.5; strong CTR-fix candidate (~1038 potential clicks)."
https://searchatlas.com/blog/keyword-research-api/,Keyword research API,informational,MOFU,guide,Keyword Research,SEO-Education,79,48510,24.6,0.16,DECLINE,no,medium,Refresh,"CTR collapse -52; pos improved 33.8->24.6 but clicks fell."
https://searchatlas.com/blog/advanced-seo-course/,Advanced SEO course,informational,TOFU,guide,Academy,SEO-Education,78,27877,20.5,0.28,n/a,no,low,Monitor,"Internal anchor; self-cannibalizing anchors (fragment URLs). Low commercial value."
https://searchatlas.com/blog/off-page-seo/,Off-page SEO,informational,TOFU,guide,Backlink Research,SEO-Education,71,93675,35.3,0.08,n/a,no,low,Monitor,"93k impr at pos 35; head term, low feasibility."
https://searchatlas.com/blog/track-llm-traffic/,Track LLM traffic,informational,MOFU,guide,LLM Visibility,AI-Search,70,11831,10.3,0.59,n/a,no,high,Expand+AddLinks,"Strong AI-Search/measurement intent; route to LLM Visibility tool. Pos 10 quick-win."
https://searchatlas.com/blog/twitter-cards/,Twitter cards,informational,TOFU,guide,OTTO,SEO-Education,66,25025,9.8,0.26,DECLINE,no,low,Refresh,"Pos 9.8; CTR-fix candidate (~635 potential). Tangential to product."
https://searchatlas.com/blog/technical-seo/,Technical SEO,informational,TOFU,guide,Site Auditor,SEO-Education,64,94440,22.9,0.07,n/a,no,medium,Refresh,"94k impr; pillar candidate for technical-SEO cluster."
https://searchatlas.com/blog/vibe-seo/,Vibe SEO,informational,TOFU,guide,OTTO,AI-Search,60,2894,7.1,2.07,n/a,no,medium,Keep,"New-term capture at pos 7. Emerging terminology; monitor growth."
https://searchatlas.com/blog/wordpress-seo/,WordPress SEO,informational,TOFU,guide,OTTO,SEO-Education,60,35823,19.2,0.17,RECOVER,no,low,Keep,"Pos improved 44->19 but CTR collapse flagged. Add snippet fix."
https://searchatlas.com/blog/agentic-marketing/,Agentic marketing,informational,TOFU,thought-leadership,Search Atlas Coworker,AI-Search,57,1391,8.7,4.10,n/a,no,high,Expand,"Owns emerging term at pos 8.7, 4.1% CTR. Strategic 2026 term. Expand into pillar; tie to Coworker."
https://searchatlas.com/blog/track-traffic-google-gemini/,Track Gemini traffic,informational,MOFU,guide,LLM Visibility,AI-Search,57,14620,15.2,0.39,n/a,no,high,Keep+AddLinks,"Per-platform tracking intent; route to LLM Visibility."
https://searchatlas.com/blog/google-knowledge-panel/,Google knowledge panel,informational,TOFU,guide,GBP Galactic,SEO-Education,56,41292,16.3,0.14,n/a,no,low,Monitor,"41k impr; tangential."
https://searchatlas.com/blog/seo-vs-sco/,SEO vs SCO,informational,TOFU,guide,LLM Visibility,AI-Search,55,23777,10.3,0.23,DECLINE,no,medium,Refresh,"Ranking loss -30 (pos 5.8->10.3). AI-Search cluster; recover."
https://searchatlas.com/blog/paid-seo-vs-organic-seo/,Paid vs organic SEO,informational,TOFU,guide,Smart Ads,SEO-Education,54,43832,12.3,0.12,n/a,no,medium,Keep,"Self-cannibalizing FAQ-anchor URLs ranking pos 4-5 with 0 CTR; consolidate anchors into main."
https://searchatlas.com/blog/press-release-distribution-services/,PR distribution services,commercial,MOFU,listicle,Digital PR,Link-PR,51,30813,43.0,0.17,n/a,no,medium,Reposition,"Pos 43; low feasibility on head term."
https://searchatlas.com/blog/dense-vs-sparse-retrieval/,Dense vs sparse retrieval,informational,TOFU,guide,LLM Visibility,AI-Search,46,33196,7.5,0.14,n/a,no,medium,Keep+AddLinks,"Technical AI-Search; pos 7.5; strong information-gain page. CTR fix ~1282."
https://searchatlas.com/blog/what-is-chatgpt/,What is ChatGPT,informational,TOFU,guide,none,AI-Tools-Reviews,45,101252,8.5,0.04,n/a,no,low,Monitor,"101k impr, pos 8.5, 0.04% CTR. High traffic but off-ICP; CTR fix ~3195 but low conversion relevance."
https://searchatlas.com/blog/what-is-claude/,What is Claude,informational,TOFU,guide,none,AI-Tools-Reviews,44,38679,7.4,0.11,n/a,no,low,Monitor,"Off-ICP informational; CTR fix candidate but low commercial value."
https://searchatlas.com/blog/ai-patterns-in-writing/,AI patterns in writing,informational,TOFU,guide,Content Genius,AI-Search,38,37200,7.7,0.10,n/a,no,medium,Keep+AddLinks,"Pos 7.7; relevant to Content Genius/AI-content. CTR fix ~1450."
https://searchatlas.com/blog/chatgpt-alternatives/,ChatGPT alternatives,commercial,MOFU,listicle,none,AI-Tools-Reviews,38,30831,15.2,0.12,RECOVER,no,low,Monitor,"Rankings improving (decay table shows pos 26->9.4 in one window); off-core."
https://searchatlas.com/blog/keyword-difficulty/,Keyword difficulty,informational,TOFU,guide,Keyword Research,SEO-Education,38,38858,19.4,0.10,n/a,no,medium,Refresh,"Pos 19; tie to Keyword Researcher product."
