cluster,query,serp_shape,ai_overview,featured_serp_features,dominant_format,top_competitor_domains,sa_current_presence,winning_info_gain_pattern,white_space,what_to_do_differently,compete_decision,priority
A AI-Search,answer engine optimization / AEO,definitional+guide dominant,present (inferred),PAA likely,2.5-3.5k-word how-to guides,tryprofound.com|hubspot.com|coursera.org|conductor.com|neilpatel.com|cxl.com|frase.io,not in observed top set,early publish date + DA + one named stat (Gartner),measurement data + case studies (all guides lack them),Bring original AEO/GEO measurement data from SA proof studies; do not write another definition,Compete on derivative how-to/measurement not the bare head term,P1
A AI-Search,generative engine optimization / GEO,definition-led; Wikipedia+arxiv on top,present (inferred),knowledge-panel,encyclopedia + academic + vendor guides,en.wikipedia.org|arxiv.org|semrush.com|evergreen.media|reply.com,not in observed top set,topical origin authority (Wikipedia/arxiv),derivative how-to/tooling queries,Target GEO how-to/tooling queries; head term undethronable,Do NOT compete on head term; compete on derivatives,P2
A AI-Search,google ai mode,news + official-source dominant,present (inferred),top-stories/news,official product pages + tech news,search.google|google.com|searchenginejournal.com|cnbc.com|semrush.com,/blog/google-ai-mode pos 6.6 (CTR ~0%) + /news/google-ai-mode pos 1,brand ownership + news freshness,none for evergreen,Fix snippet for existing impressions; route news to /news/; do not invest in evergreen,Do NOT invest (Google-owned + news velocity),P2
A AI-Search,llm visibility / track llm traffic,two intents collide (tools vs how-to); weak incumbents,present (inferred),PAA,tool listicles + how-to,meltwater.com|quoleady.com|seranking.com|yotpo.com|omniseo.com|llmpulse.ai,/blog/track-llm-traffic pos 10.3 + /llm-visibility product pos 26.8,listicle freshness; no DA brand owns the GA4 how-to,HIGH: practical GA4/Looker how-to to track LLM referral traffic,Own the definitive how-to + free Looker Studio template; credible brand beats new/weak domains,COMPETE (best white-space fit),P0
A AI-Search,agentic seo / agentic marketing,vendor-guide dominant; all 2026,present (inferred),none observed,recent vendor guides,ahrefs.com|searchengineland.com|frase.io|siteimprove.com|wordlift.io|seo.com|medium.com,/blog/agentic-seo pos ~5 (already ranks),Ahrefs won with reproducible prompt repo + screenshots,execution proof with real before/after (Ahrefs only mocks Agent A),Show OTTO executing a real agentic workflow with before/after data; lead with proof not definition,COMPETE (strongest product fit),P0
B Commercial,seo automation software / automated seo software,mixed listicles + product pages,present (inferred),none observed,listicles + product/feature pages,marketermilk.com|alliai.com|rankyak.com|wpseoai.com|eesel.ai|siteimprove.com,RANKS TWICE: homepage + /otto-seo/,product pages rank; testing-credibility in listicles,dedicated automation hub + listicle inclusion,Build SEO Automation hub; earn inclusion in roundups; defend OTTO page,COMPETE (defend+extend; already ranks),P0
B Commercial,seo software for agencies / seo platform for agencies,listicle-dominant,present (inferred),none observed,agency-credibility roundups,onelittleweb.com|rankability.com|seotesting.com|whatagraph.com|aioseo.com|orbitmedia.com,homepage ranks pos ~6; framed as 'newer limited traction' in roundups,tested-at-client-scale + screenshots + pricing tables,agency/white-label hub with first-party multi-client proof,Build agency hub; add testing provenance + named operators to counter 'limited traction' framing,COMPETE (build hub + earn inclusion),P1
B Commercial,ai seo software,listicle + product mix; 'I tested N' framing,present (inferred),none observed,tested listicles + product homepages,rankability.com|whatagraph.com|onelittleweb.com|siteimprove.com|seo.ai|behindrankings.com,homepage ranks pos ~5,'I tested 18 tools' credibility,dedicated AI-SEO-software commercial page (none exists for SA),Create the right commercial page; consolidate scattered weak pages (file 06),COMPETE (net-new commercial page),P1
B Commercial,local citation builder,product/service-page dominant,present (inferred),local-pack adjacent,purpose-built product pages,citationbuilderpro.com|brightlocal.com|whitespark.ca|localdominator.co|seosamba.com,/local-citations/ product page ranks pos ~5,deep category authority (BrightLocal/Whitespark),low (category owned by incumbents),Defend product page snippet only; do not build a content roundup,DEFEND ONLY (do not over-invest),P1
C Comparison,ahrefs alternatives,pure listicle + vendor-comparison,present (inferred),none observed,high-DA tested roundups,seranking.com|backlinko.com|zapier.com|mangools.com|trafficthinktank.com|onelittleweb.com,NOT in observed top set; absent from Zapier roundup,high-DA + tested credibility + pricing tables,branded /ahrefs-alternative comparison page (verify it ranks),Own the branded /ahrefs-alternative page + earn inclusion; don't build a generic roundup,DEFEND/EARN-INCLUSION (saturated),P1
C Comparison,semrush alternatives,listicle-dominant + Quora/G2 present,present (inferred),G2 aggregator + Quora UGC,high-DA roundups + review aggregators,seranking.com|onelittleweb.com|spyfu.com|g2.com|mangools.com|quora.com,NOT in observed top set,DA + tested + some UGC/peer input,own branded /semrush-alternative + LLM-visibility wedge,Strengthen /search-atlas-vs-semrush for non-branded intent + AI-visibility wedge; pursue G2 presence,EARN-INCLUSION + own branded page,P1
C Comparison,best seo tools for agencies,listicle-dominant (same as agency SERP),present (inferred),none observed,tested roundups,onelittleweb.com|rankability.com|whatagraph.com|seotesting.com|marketermilk.com,homepage pos ~5; 'emerging' in lists,years of documented testing,first-party multi-client usage data,Supply roundup authors first-party proof; own branded comparison pages,EARN-INCLUSION,P2
