topic,primary_keyword,secondary_keywords,search_intent,audience,material_angle,priority,word_count,internal_links,status,notes
Fireplace Tile: Zellige and Cement for Feature Walls,fireplace tile,"fireplace tile ideas; zellige fireplace",Design ideas — homeowner or designer planning a fireplace surround or feature wall,"Affluent consumers; designers and architects","Zellige (heat + dynamic glazes on a vertical surface) and cement tile (pattern on feature walls). Verify heat suitability against materials configs before claiming.",High,1500-2000,"https://ziatile.com/collections/zellige; https://ziatile.com/collections/cement-tile; Installation Guide",In Progress,"Two-material design-ideas piece — follow STYLE-SYSTEM §6.7 skeleton. Verify fireplace/heat claims against materials/zellige.md and materials/cement.md — no invention."
Marble Tile: Types Carrara & Calacatta Flooring,marble tile,"calacatta marble; carrara marble tile; marble flooring",Material guide,"Consumers and trade",Marble collection,On Hold,-,https://ziatile.com/collections/marble-tile,On Hold,SKIPPED — status On Hold in tracker.
Glass Mosaic Tile: Pool Bathroom & Backsplash Design,glass mosaic tile,"glass tile backsplash; glass pool tile",Design + application guide — wet-area and backsplash uses,"Consumers planning pools/bathrooms; designers","Zia glass mosaics: 98% recycled glass from Northern Spain, hand-placed 12x12 grids, 7 patterns. Pool/wet suitability must come from materials/glass-mosaics.md.",High,1500-2000,"https://ziatile.com/collections/glass-mosaics; Installation Guide",In Progress,"Wet-area suitability claims only from the material config. Slip/sealing rules per STYLE-SYSTEM §4."
Tile Grout Guide: Choosing Grout for Zellige & Cement,tile grout,"grout; grout for zellige",How-to guide — choosing grout type/joint/color approach for handmade tile,"Consumers and installers","Grout joints (never grout spacing); zellige and cement specifics; link installation guides. NO specific grout color names — describe color-matching vs contrasting approach only (§3.2).",High,1500-2000,"https://ziatile.com/pages/installation-guides; https://ziatile.com/collections/zellige; https://ziatile.com/collections/cement-tile",In Progress,"Ground answers in clients/zia-tile/installation-guides/ — do not paraphrase from memory. 1/8 inch minimum joint for wet commercial floors."
Limestone Tile: Honed vs Brushed + Care Guide,limestone tile,"honed limestone; brushed limestone; limestone flooring",Finish comparison + care guide,"Consumers and trade","Zia limestone: quarried solid blocks, Fez Morocco + Bordeaux France; honed or bush-hammered finishes; natural patina over time. Note: STYLE-SYSTEM says bush-hammered — verify 'brushed' vs 'bush-hammered' against live collection before using the keyword term as a finish claim.",Medium,1500-2000,"https://ziatile.com/collections/limestone-tile; Installation Guide",In Progress,"Finish terminology must match live site; patina = use and time only."
Mosaic Tile: What It Is and How Designers Use It,mosaic tile,"mosaic backsplash; roman mosaic",Definition + design guide,"Designers and consumers","Zia Roman Mosaics: same premium stone as Solid Marble, ancient-Rome-inspired patterns, hand-placed. Check live collection URL and naming before writing (tracker URL: /collections/roman-mosaics).",Medium,1500-2000,"https://ziatile.com/collections/roman-mosaics; Installation Guide",In Progress,"Verify collection name/URL on live site (Roman Mosaics may have moved under Marble). Only verified patterns/formats."
Cement Tile for Commercial Spaces,commercial cement tile,"restaurant floor tile; hospitality tile",Commercial application guide,"Architects; designers; hospitality operators","Cement tile: Vietnam, mineral pigments + hydraulic press, never fired, matte, 68 colors. Exterior in non-freeze/thaw only. Lived-in character framing for commercial aging.",Medium,1500-2000,"https://ziatile.com/collections/cement-tile; Installation Guide",In Progress,"DCOF/slip guidance per §4.4 where wet commercial floors appear; 1/8 inch grout joints + anti-slip treatment."
The Zellige Color Guide,zellige colors,"zellige color guide; best zellige colors",Color selection guide,"Consumers and designers","Zellige dynamic glazes; colorway range described by tone families. CRITICAL: zellige colorways are gated verify — use only colorway names confirmed on the live collection page or materials/zellige.md. Describe the range, do not list unverified names.",High,1500-2000,"https://ziatile.com/collections/zellige; Installation Guide",In Progress,"Jamie rule: describe colorway range, not exhaustive name lists. No invented colorways (Aegean/Absinthe were flagged invented). No 'best sellers' framing despite the keyword."
Outdoor Tile for Patios Pool Decks and Gardens,outdoor patio tile,"pool tile; garden tile",Multi-material outdoor application guide,"Homeowners and trade planning exterior projects","Freeze/thaw matrix is the core value: unglazed Cotto any climate; cement non-freeze/thaw only; zellige and Cotto Allende not freeze/thaw outdoors; Cotto Allende approved for pools; unglazed Cotto NOT for pools. Cantera indoor + outdoor.",High,1500-2000,"https://ziatile.com/pages/outdoor-collection; Installation Guide",In Progress,"Multi-material §6.7 skeleton. Every suitability claim verified against materials/{material}.md. Positive framing — what each material suits, not what it withstands."
Hand-Painted Tiles: A Guide to Artisan Ceramics,hand-painted tile,"handmade ceramic tile; artisan tile",Material guide,"Consumers and designers",Ceramics collection (Field Trip Japan naming — verify),On Hold,-,https://ziatile.com/collections/ceramics,On Hold,SKIPPED — status On Hold in tracker.
