Task Name,Priority,Status,Description
"[P0] Remove ""Automate your SEO in 1 click"" banner (sitewide)",Urgent,to do,"The Activate-OTTO banner. Appears on OTTO, Content Genius, Landing Page Gen, GBP Galactic, Local SEO, DA Checker, Blog Ideas, GMB, Site Auditor/Explorer, Keyword, Backlink, Topical Maps, PatentBrain. ""1 click"" is the banned command-and-control lever. One template edit lifts 10+ pages."
"[P0] Kill ""first-of-its-kind AI SEO tool that will revolutionize the way you do SEO""",Urgent,to do,"Calls Search Atlas a ""tool"" (Manick's hard ban) plus AI filler. Appears on Local SEO, Site Auditor, Site Explorer, DA Checker, Topical Maps, GMB, SE Ranking, Enterprise pages, otto-implementer."
"[P0] Replace ""1-Click Publishing"" / ""1-Click X"" feature labels",Urgent,to do,"Command-and-control in feature chips. Shared across all comparison pages and most product page tables."
"[P0] Review global nav ""Atlas Agent"" naming",Urgent,to do,"Every page header. In-app interface is Atlas Agent, but the autonomy/messaging story should surface the Coworker. Stale brand chrome."
"[P0] Fix ""SearchAtlas"" one-word in logo/SVG (design ticket)",Urgent,to do,"Brand is two words. Site Explorer, Backlink, On-Page Audit, Profound, etc. Design, not editorial."
"[P1] /atlas-agent/ full overhaul",High,complete,"SHIPPED 2026-06-30 via MR #594 + #599. Flipped from command-and-control to ""it works and reports back."""
"[P1] Homepage body - remove ""1 click"" + ""AI SEO tool""",High,to do,"Hero is on-positioning; body still says ""Automate your SEO in 1 click"" and ""OTTO SEO tool / AI SEO tool."" Quick high-visibility win."
"[P1] /features/ full overhaul",High,to do,"Hero promises an autonomous engine; body is a 40+ ""tools"" catalog. The promise dies after the hero."
"[P1] /pricing/ major rewrite",High,to do,"""You stay in control - deploy automations or approve changes individually"" and tier copy built on ""managing."" Reframe around priced-like-a-coworker, not a tool stack you operate."
"[P2] /gbp-galactic/ full overhaul",Normal,to do,"Contains the most off-brand line on the site: ""Control Every Listing from One Command Center."""
"[P2] /otto-seo/ rewrite",Normal,to do,"""Win Every Search in 1 Click"" hero; no agentic story; OTTO reads as a standalone brand, not a Search Atlas skill."
"[P2] /local-seo/ + /local-seo-software/ + /google-my-business-management-software/",Normal,to do,"All three call SA a ""tool""/""software/dashboard of tools"" in the headline, with ""Manage in one dashboard"" fighting the autonomy banner below."
"[P2] /content-genius/ rewrite",Normal,to do,"Antithesis pattern (""isn't a writer. It's a passage-level architect"") plus ""AI Tools"" framing."
"[P2] /landing-page-generator/ rewrite",Normal,to do,"""Build Landing Pages Without Ever Leaving the Dashboard"" - console framing; should be SA building pages on its own."
"[P2] /llm-visibility/ rewrite",Normal,to do,"Shows you what AI says but never closes the loop to the Coworker fixing it. Reads as standalone monitoring."
"[P3] Deep SEO tool pages - DIY utility rewrites",Low,to do,"Site Explorer, Keyword Research, Backlink Analyzer, On-Page Audit, Link-Building Outreach. Framed as DIY data utilities (""drop in a domain,"" ""Browse keywords,"" ""Review backlinks in the dashboard""); three have ""Tool"" in the H1. Bottom-of-funnel, but need full rewrites."
"[Comparison] /search-atlas-vs-se-ranking/ fix hero",Normal,to do,"Inverts the wedge: ""Stop managing SEO tools. Start executing your entire marketing stack"" tells the buyer to execute. Fix this one hero."
"[Comparison] /search-atlas-vs-profound/ one-line fix",Normal,to do,"Change ""gives you the tools to act"" to ""acts on it for you"" - currently undercuts the self-healing promise."
"[Strategic] Add the Coworker (Slack/Teams/ClickUp) story sitewide",High,to do,"Pillar 3 is absent from every page. Nothing shows the Coworker posting unprompted. Content gap, not just a copy fix."
"[Bug] Fix live page errors",High,to do,"Broken hero on /otto-implementer/ (""SEO Success for with an OTTO Implementer""); heading collapse on /otto-pixel/; OTTO boilerplate bled onto /patentbrain/; typo'd subhead on /press-release-software/ (""turned made visible"")."
"[Decision] /otto-implementer/ positioning call",Normal,to do,"Page sells a human done-for-you service that contradicts ""the engine does the work."" Needs a positioning decision, not just an edit."
