query_cluster,competing_urls,combined_impr_90d,canonical_primary,action_per_page,distinct_intent_after,redirect_required,internal_link_change,priority,notes
perplexity alternatives,/blog/perplexityai-alternatives/ (pos 6.3) | /blog/perplexity-ai-alternatives/ (pos 11.7),119574,/blog/perplexityai-alternatives/,Keep canonical; merge unique content from the -ai- version; 301 the duplicate,Single Perplexity-alternatives page,YES (301 perplexity-ai-alternatives -> perplexityai-alternatives),Repoint internal links to canonical,P0,True duplicate splitting equity; the -ai- version is in ranking-loss decline (-178 clicks). Highest-confidence consolidation.
anthropic claude review,/blog/anthropic-claude-review/ (pos 9.2) | /blog/anthropic-claude-review-2/ (pos 7.4),77631,/blog/anthropic-claude-review/,Merge -2- content into primary; 301 the -2- duplicate,Single Claude review,YES (301 review-2 -> review),Repoint links,P1,Clear duplicate (-2- slug). Low ICP so lower priority despite high impressions.
google ai mode,/blog/google-ai-mode/ (pos 6-8) | /news/google-ai-mode/ (pos 1) | /blog/best-ai-tools/ (pos 3),63459,/blog/google-ai-mode/ (evergreen) + /news/ (news),Define intent split: /news/ = news updates; /blog/ = evergreen explainer; stop best-ai-tools ranking for it,Evergreen explainer vs news,NO,Cross-link news<->blog; de-emphasize ai-mode in best-ai-tools,P1,3 URLs compete. News SERP is Google-owned (low evergreen feasibility per file 09) - do not over-invest; just stop the 3-way split.
white-label seo,/white-label-seo-software/ (pos 32) | /blog/white-label-seo-reporting-tools/ (pos 26-65) | labs.searchatlas.com staging URL (indexed),~120000 across white-label query family,/white-label-seo-software/,Make product page the hub; reporting-tools blog targets reporting subtopic only; DE-INDEX the labs.searchatlas.com staging URL,Product hub vs reporting-tools subtopic,YES (noindex/block labs subdomain),Build agency hub; link blog up to product,P0,CRITICAL: a labs.searchatlas.com staging/animation subdomain is leaking into the index and competing. Block via robots/noindex. Huge white-label cluster (20+ queries 200k+ impr) all pos 20-65.
domain authority cluster,/blog/domain-power/ (pos 19.8) | /blog/domain-authority-tools/ (pos 22.9) | /blog/da-vs-ta-2026/ (pos 8.1) | /blog/domain-rating-vs-domain-authority/ (pos 18.1),~170000 across DA queries,/blog/domain-power/,Make Domain Power the pillar; da-vs-ta and dr-vs-da target comparison intent; domain-authority-tools targets tool-listicle intent; interlink all to Domain Power,Pillar (Domain Power) + 3 distinct supporting angles,NO,Hub-and-spoke internal links to /blog/domain-power/ and /da-checker/,P1,Brand-metric opportunity: own Domain Power as the entity. Aligns with proof study (domain-power-llm-visibility-study).
similarweb,/blog/similarweb-alternatives/ (pos 20-24) | /blog/similarweb-review/ (pos 49.7) | /blog/semrush-vs-similarweb/ (pos 2),~110000,/blog/similarweb-alternatives/ (for alternatives) ; /blog/semrush-vs-similarweb/ (for comparison),Assign alternatives vs review vs vs-comparison to distinct intents; refresh alternatives (CTR collapse),3 distinct intents,NO,Interlink the three; link to /site-explorer/,P2,"Intents are genuinely distinct; main fix is refresh + interlink, not merge."
seobility vs semrush,/blog/seobility-vs-semrush/ (pos 6.1) | /blog/seobility-alternatives/ (pos 37) | /blog/seo-tools/ (generic),~40000,/blog/seobility-vs-semrush/,Keep vs page as canonical for the comparison; stop generic seo-tools ranking for it,Comparison vs alternatives,NO,Snippet fix on vs page (0.01% CTR),P1,vs page ranks pos 6 with near-zero CTR - title/meta fix.
screaming frog vs ahrefs,/blog/seo-tools/ (pos 1!) | /blog/ahrefs-vs-screaming-frog/ (pos 4.5) | /blog/deepcrawl-vs-screaming-frog/,~25600,/blog/ahrefs-vs-screaming-frog/,Generic seo-tools page is mis-ranking for a specific comparison; retarget seo-tools to its head intent and let the specific vs page own this,Specific comparison page wins,NO,Internal link from seo-tools to the specific comparison,P2,Generic page outranking the purpose-built one = intent mismatch.
ai seo software (content),/blog/alli-ai-review/ (pos 1) | /blog/keyword-research-api/ | /blog/meta-description-tools/,~34000,NEW: dedicated AI SEO software commercial page,Create the right page and consolidate signals (none of the ranking pages match the commercial query),Single commercial page,NO,Link new page from automation cluster,P1,No correct page exists for a high-value commercial term - scattered weak pages. Net-new commercial page (see portfolio).
brightedge,/blog/conductor-alternatives-2/ (pos 2.8) | /blog/brightedge-vs-raven-tools/ (pos 4) | /blog/brightedge-review/ (pos 16),~18000,/blog/brightedge-review/,Assign review vs alternatives vs vs-comparison; conductor-alternatives-2 has a -2- duplicate smell (check vs conductor-alternatives),Review vs alternatives,VERIFY (possible conductor-alternatives-2 dup),Interlink enterprise-competitor set,P2,Enterprise competitor cluster; lower volume but high-value buyers.
